story,date,sha,class,fr_ids
HAP-22,2026-07-21,1de3f06,L2,none
HAP-1,2026-07-21,9729f03,L2,FR-057(infra-portion);FR-067
HAP-2,2026-07-21,2ef0cdf,L2,FR-020
HAP-3,2026-07-21,9425b36,L3,FR-020;FR-021;FR-022;FR-023;FR-024;FR-050;FR-053
HAP-6,2026-07-21,76a08ff,L2,FR-001;FR-054
HAP-4,2026-07-21,4f3f83b,L3,FR-055;FR-056
HAP-5,2026-07-21,cd4c1e0,L3,FR-014;FR-025;FR-071
HAP-7,2026-07-21,983dddc,L2,FR-002;FR-003;FR-004;FR-005;FR-006;FR-060
HAP-8,2026-07-22,2956b85,L3,FR-007;FR-062;FR-066
HAP-9,2026-07-22,c511f0e,L3,FR-008;FR-009;FR-010;FR-011;FR-012;FR-063;FR-069
HAP-10,2026-07-22,41b178f,L3,FR-068;FR-069;FR-070;FR-015;FR-016
HAP-11,2026-07-22,762d879,L3,FR-013;FR-015;FR-016;FR-017;FR-018;FR-019;FR-041
HAP-12,2026-07-23,1a9223f,L3,FR-050;FR-051;FR-052;FR-053
HAP-13,2026-07-23,3b5f843,L2,FR-026;FR-027;FR-034;FR-035
HAP-23,2026-07-23,dce7552,L1,FR-055;FR-056
HAP-14,2026-07-23,5bc6202,L2,FR-028;FR-029;FR-030;FR-031;FR-032;FR-033
